league.year,league.name,entry.name,phase.name,division.name,S_FIRST,S_LAST,R_G,R_W,R_L,R_T,R_PCT,R_RANK,R_ATT,B_G,B_IP,B_AB,B_R,B_ER,B_H,B_TB,B_1B,B_2B,B_3B,B_HR,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_SB,B_CS,B_AVG,P_G,P_CG,P_SHO,P_GF,P_W,P_L,P_T,P_PCT,P_IP,P_AB,P_R,P_ER,P_H,P_HR,P_BB,P_IBB,P_SO,P_HP,P_SH,P_SF,P_WP,P_BK,P_ERA,F_G,F_TC,F_PO,F_A,F_E,F_DP,F_TP,F_PB,F_XI,F_LOB,F_PCT
1899,Interstate League,Mansfield,regular,,,,,,,,,,,,,,,,,1722,,219,60,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,Interstate League,Youngstown,regular,,,,,,,,,,,,,,,,,1663,,220,54,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,Interstate League,Dayton,regular,,,,,,,,,,,,,,,,,1643,,189,46,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,Interstate League,New Castle,regular,,,,,,,,,,,,,,,,,1553,,203,82,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,Interstate League,Wheeling,regular,,,,,,,,,,,,,,,,,1482,,192,57,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,Interstate League,Toledo,regular,,,,,,,,,,,,,,,,,,,,,,,339,,271,,,70,,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,Interstate League,New Castle,regular,,,,,,,,,,,,,,,,,,,,,,,446,,421,,,122,,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,Interstate League,Grand Rapids,regular,,,,,,,,,,,,,,,,,,,,,,,434,,467,,,38,,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,Interstate League,Dayton,regular,,,,,,,,,,,,,,,,,,,,,,,294,,391,,,89,,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,Interstate League,Fort Wayne,regular,,,,,,,,,,,,,,,,,,,,,,,360,,304,,,96,,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,Interstate League,Mansfield,regular,,,,,,,,,,,,,,,,,,,,,,,342,,318,,,84,,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,Interstate League,Youngstown,regular,,,,,,,,,,,,,,,,,,,,,,,226,,397,,,91,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,Interstate League,Wheeling,regular,,,,,,,,,,,,,,,,,,,,,,,351,,418,,,83,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,Interstate League,New Castle,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5621,3594,1725,306,,,,,,0.94
1899,Interstate League,Toledo,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5945,3714,1871,360,,,,,,0.939
1899,Interstate League,Dayton,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5632,3640,1644,348,,,,,,0.938
1899,Interstate League,Mansfield,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5918,3714,1833,371,,,,,,0.937
1899,Interstate League,Fort Wayne,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5853,3736,1749,368,,,,,,0.937
1899,Interstate League,Wheeling,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5968,3810,1764,394,,,,,,0.934
1899,Interstate League,Youngstown,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5654,3582,1690,382,,,,,,0.933
1899,Interstate League,Grand Rapids,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6335,3831,2039,465,,,,,,0.927
1899,Western League,Indianapolis,regular,,,,,75,47,,0.615,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,Western League,Minneapolis,regular,,,,,76,50,,0.603,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,Western League,Detroit,regular,,,,,64,60,,0.516,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,Western League,Grand Rapids,regular,,,,,63,62,,0.504,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,Western League,St. Paul,regular,,,,,57,69,,0.452,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,Western League,Milwaukee,regular,,,,,55,68,,0.447,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,Western League,Kansas City,regular,,,,,53,70,,0.431,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,Western League,Buffalo,regular,,,,,53,70,,0.431,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,Western League,Minneapolis,regular,,,,,,,,,,,127,,4511,826,,,,,,,,,,,,,,,,,,0.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,Western League,Detroit,regular,,,,,,,,,,,124,,4362,734,,,,,,,,,,,,,,,,,,0.279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,Western League,Milwaukee,regular,,,,,,,,,,,124,,4285,679,,,,,,,,,,,,,,,,,,0.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,Western League,Buffalo,regular,,,,,,,,,,,124,,4325,568,,,,,,,,,,,,,,,,,,0.265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,Western League,St. Paul,regular,,,,,,,,,,,127,,4503,654,,,,,,,,,,,,,,,,,,0.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,Western League,Kansas City,regular,,,,,,,,,,,125,,4448,651,,,,,,,,,,,,,,,,,,0.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,Western League,Indianapolis,regular,,,,,,,,,,,126,,4172,654,,,,,,,,,,,,,,,,,,0.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,Western League,Grand Rapids,regular,,,,,,,,,,,125,,4372,676,,,,,,,,,,,,,,,,,,0.248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,Western League,Milwaukee,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,,3312,1699,,,,,,,0.94
1899,Western League,Indianapolis,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,,3363,1697,,,,,,,0.938
1899,Western League,Minneapolis,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,,3367,1671,,,,,,,0.937
1899,Western League,Grand Rapids,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,,3268,1636,,,,,,,0.936
1899,Western League,Kansas City,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,,3270,1630,,,,,,,0.935
1899,Western League,Buffalo,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,,3234,1655,,,,,,,0.935
1899,Western League,Detroit,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,,3283,1622,,,,,,,0.927
1899,Western League,St. Paul,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,,3434,1625,,,,,,,0.925
